+-----------+--------+---------+------------+
| Flow Rate |  Head  |  Power  | Efficiency |
+-----------+--------+---------+------------+
|      0.00 |  50.88 |    9.81 |      60.98 |
|      1.01 |  49.90 |   10.28 |      59.38 |
|      2.02 |  49.88 |   11.36 |      59.43 |
|      3.03 |  50.21 |   11.54 |      60.56 |
|      4.04 |  49.72 |   11.94 |      59.51 |
|      5.05 |  48.00 |   11.21 |      61.10 |
|      6.06 |  48.66 |   12.41 |      59.95 |
|      7.07 |  47.80 |   12.46 |      59.83 |
|      8.08 |  47.52 |   13.37 |      61.21 |
|      9.09 |  47.48 |   13.59 |      61.04 |
|     10.10 |  47.04 |   14.49 |      61.31 |
|     11.11 |  47.39 |   14.60 |      60.91 |
|     12.12 |  46.74 |   15.24 |      60.12 |
|     13.13 |  46.12 |   15.02 |      61.62 |
|     14.14 |  45.98 |   15.18 |      60.67 |
|     15.15 |  45.62 |   15.86 |      61.36 |
|     16.16 |  45.90 |   16.46 |      61.62 |
|     17.17 |  44.75 |   17.06 |      61.27 |
|     18.18 |  44.70 |   18.40 |      61.90 |
|     19.19 |  43.81 |   17.66 |      62.33 |
|     20.20 |  42.66 |   17.60 |      62.36 |
|     21.21 |  43.96 |   18.31 |      61.97 |
|     22.22 |  43.77 |   18.66 |      63.06 |
|     23.23 |  42.66 |   19.53 |      64.00 |
|     24.24 |  43.86 |   18.93 |      63.46 |
|     25.25 |  41.70 |   20.13 |      64.25 |
|     26.26 |  42.14 |   20.58 |      64.67 |
|     27.27 |  41.72 |   21.02 |      66.42 |
|     28.28 |  42.28 |   21.01 |      66.49 |
|     29.29 |  41.95 |   21.60 |      67.05 |
|     30.30 |  40.99 |   21.41 |      67.20 |
|     31.31 |  40.79 |   22.28 |      68.62 |
|     32.32 |  39.86 |   22.66 |      68.82 |
|     33.33 |  39.01 |   23.54 |      70.00 |
|     34.34 |  39.52 |   23.16 |      70.52 |
|     35.35 |  39.47 |   24.53 |      72.04 |
|     36.36 |  39.71 |   25.29 |      72.85 |
|     37.37 |  39.39 |   23.92 |      73.32 |
|     38.38 |  38.29 |   25.57 |      74.47 |
|     39.39 |  38.03 |   26.10 |      74.55 |
|     40.40 |  37.35 |   25.84 |      75.14 |
|     41.41 |  36.87 |   26.37 |      76.85 |
|     42.42 |  36.42 |   26.90 |      77.41 |
|     43.43 |  37.94 |   27.23 |      78.27 |
|     44.44 |  36.41 |   27.62 |      79.71 |
|     45.46 |  36.15 |   27.34 |      79.46 |
|     46.47 |  35.43 |   29.16 |      78.93 |
|     47.47 |  36.15 |   29.53 |      80.24 |
|     48.49 |  34.65 |   28.99 |      79.23 |
|     49.49 |  35.04 |   29.07 |      79.76 |
|     50.51 |  34.40 |   30.46 |      79.95 |
|     51.51 |  34.74 |   30.32 |      80.74 |
|     52.53 |  33.99 |   31.08 |      79.31 |
|     53.53 |  33.35 |   31.25 |      78.97 |
|     54.54 |  33.62 |   32.16 |      78.94 |
|     55.56 |  33.55 |   32.57 |      78.18 |
|     56.57 |  33.06 |   32.26 |      78.52 |
|     57.58 |  32.88 |   32.34 |      76.79 |
|     58.59 |  32.11 |   32.64 |      76.06 |
|     59.60 |  31.94 |   34.14 |      75.67 |
|     60.61 |  31.48 |   33.65 |      74.85 |
|     61.62 |  31.33 |   34.39 |      75.24 |
|     62.63 |  30.81 |   34.75 |      73.90 |
|     63.64 |  30.05 |   35.43 |      72.61 |
|     64.65 |  30.69 |   34.89 |      71.08 |
|     65.66 |  30.10 |   36.36 |      71.26 |
|     66.67 |  29.18 |   36.93 |      69.49 |
|     67.68 |  29.93 |   37.12 |      68.39 |
|     68.69 |  28.94 |   37.32 |      68.95 |
|     69.70 |  29.12 |   37.93 |      67.74 |
|     70.71 |  29.15 |   38.48 |      67.31 |
|     71.72 |  28.55 |   37.30 |      66.31 |
|     72.73 |  28.75 |   40.07 |      65.93 |
|     73.74 |  27.26 |   39.69 |      64.56 |
|     74.75 |  27.78 |   39.57 |      63.81 |
|     75.76 |  26.93 |   40.11 |      64.15 |
|     76.77 |  26.53 |   40.95 |      62.93 |
|     77.78 |  26.38 |   41.05 |      62.56 |
|     78.79 |  26.21 |   40.50 |      62.29 |
|     79.80 |  26.09 |   42.95 |      62.18 |
|     80.81 |  25.17 |   42.99 |      61.69 |
|     81.82 |  25.91 |   45.69 |      60.90 |
|     82.83 |  25.38 |   47.54 |      61.03 |
|     83.84 |  24.08 |   51.82 |      60.03 |
|     84.85 |  25.29 |   54.76 |      61.27 |
|     85.86 |  15.19 |   58.83 |      60.00 |
|     86.87 |  14.53 |   62.23 |      60.12 |
|     87.88 |  13.55 |   67.87 |      60.58 |
|     88.89 |  12.80 |   72.40 |      60.09 |
|     89.90 |  13.56 |   77.75 |      61.15 |
|     90.91 |  12.53 |   82.08 |      59.66 |
|     91.92 |  13.03 |   87.68 |      60.38 |
|     92.93 |  12.23 |   94.81 |      60.18 |
|     93.94 |  12.31 |   99.09 |      59.58 |
|     94.95 |  11.69 |  105.71 |      60.39 |
|     95.96 |  11.56 |  112.71 |      60.02 |
|     96.97 |  10.91 |  118.74 |      60.47 |
|     97.98 |  11.50 |  125.72 |      60.47 |
|     98.99 |  10.37 |  132.15 |      61.13 |
|    100.00 |  10.20 |  139.63 |      60.71 |
+-----------+--------+---------+------------+
